Title,Subtitle,Status,SupportStatus,Year,imdbRating,Studio,Earnings,Budget,Key,Remarks,Interesting?
BEARDLESS WARRIORS,,OTHER,Not assisted,1964,,,,,BEARDLESS WARRIORS_1964,NEED ADDITIONAL INFORMATION,
ENSIGN PULVER,,DENIED,Not assisted,1964,,,,,ENSIGN PULVER_1964,"NAVY REFUSED ASSISTANCE TO SEQUEL OF ""MR. ROBERTS"" WHICH HAD RECEIVED ASSISTANCE ONLY BECAUSE JOHN FORD WAS DIRECTING",
GOLDFINGER,,LIMITED,Assisted,1964,,,,,GOLDFINGER_1964,DOD CONTINUED TRADITION OF PROVIDING LIMITED ASSISTANCE TO THE JAMES BOND FILMS,Y
SEVEN DAYS IN MAY,,DENIED,Not assisted,1964,,,,,SEVEN DAYS IN MAY_1964,"THE PENTAGON DENIED ALL ASSISTANCE IN LIGHT OF STORY OF CHAIRMAN OF THE JOINT CHIEFS OF STAFF PLANNING A COUP BECAUSE PRESIDENT SIGNED A DISARMAMENT TREATY. HOWEVER, FILMMAKERS TALKED THEIR WAY ABOARD AN AIRCRAFT CARRIER IN SAN DIEGO TO OBTAIN SHOTS TO CREATE AMBIANCE OF CARRIER. PRODUCER ADMITTED BUT CLAIMED NAVY SHOULD HAVE INFORMED ALL SHIPS NOT TO LET HIM ABOARD AND SAID HE WAS ONLY HELPING DIRECTOR.",Y
VICTORS,,OTHER,Not assisted,1964,,,,,VICTORS_1964,"MAJOR ANTI-WAR FILM WHICH FOLLOWS A UNIT OF SOLDIERS ACROSS EUROPE TO END OF WAR. THERE ONE OF THE HEROES AND A RUSSIAN SOLDIER FIGHT AND KILL EACH OTHER, A PROPHECY OF WHAT HAPPENED. MADE IN EUROPE AND SO NO NEED FOR COOPERATION",
BEDFORD INCIDENT,,DENIED,Not assisted,1965,,,,,BEDFORD INCIDENT_1965,"DIRECTOR & SCREENWRITER RECEIVED AN INFORMATIONAL TRIP ABOARD A DESTROYER. HOWEVER, THE SCRIPT, WHICH FEATURED AN UNACCEPTABLE DESTROYER CAPTAIN WHO PLAYS AN ULTIMATELY FATAL CAT AND MOUSE GAME WITH A SOVIET SUBMARINE. BRITISH PROVIDED ACTUAL DESTROYER AND HELICOPTER DURING THE FILMING.",
FATHER GOOSE,,LIMITED,Assisted,1965,,,,,FATHER GOOSE_1965,LIMITED NAVY ASSISTANCE ON STORY ABOUT AN AMERICAN WHO BECOMES A COAST WATCHER ON A SOUTH PACIFIC ISLAND,
IN HARM'S WAY,,APPROVED,Assisted,1965,,,,,IN HARM'S WAY_1965,"HENRY WINKLER PLAYS A DERANGED VIETNAM VET WHO ESCAPES FROM VA HOSPITAL AND HEADS CROSS COUNTRY TO START A WORM BUSINESS WITH A BUDDY FROM VIETNAM. WHEN HE ARRIVES AT HOME, PARENTS TELL HIM THEIR SON WAS KILLED IN VIETNAM WHICH TRIGGERS VIETNAM FLASHBACK--GOOD REALISTIC FIRE FIGHT SEQUENCE. ARMY ALLOWED FILMMAKERS TO FILM SEQUENCE AT RECRUIT STATION IN TIMES SQUARE. WINKLER TRIES TO DISSUADE BOYS' ENLISTMENT. FIRST FILM TO RECEIVE ANY ARMY ASSISTANCE,",
THE SOUND OF MUSIC,,OTHER,Not assisted,1965,,,,,THE SOUND OF MUSIC_1965,NAVY PROVIDED AN PETTY OFFICER TO TEACH CHRISTOPHER PLUMMER HOW TO BLOW A BOSUN'S PIPE FOR EARLY SCENE IN FILM,
VON RYAN'S EXPRESS,,OTHER,Not assisted,1965,,,,,VON RYAN'S EXPRESS_1965,DID NOT REQUEST ASSISTANCE,
AMBUSH BAY,,APPROVED,Assisted,1966,,,,,AMBUSH BAY_1966,MARINES PROVIDED TYPICAL ASSISTANCE OF MEN AND EQUIPMENT FOR WORLD WAR II MOVIE,
BEACH RED,,DENIED,Not assisted,1967,,,,,BEACH RED_1967,"MARINES LIKED SCRIPT AND PROVIDED COMBAT FOOTAGE WHICH CORNEL WILDE RESTORED. HOWEVER, THE CORPS THEN CONCLUDED THE FILM WOULD MAKE AN ANTI-WAR STATEMENT AT A TIME WHEN VIETNAM WAS ESCALATING AND DECLINED TO PROVIDE ACTUAL ASSISTANCE. INSTEAD, THE PRODUCTION COMPANY USED THE PHILIPPINE ARMY.",Y
DIRTY DOZEN,,OTHER,Not assisted,1967,,,,,DIRTY DOZEN_1967,CLASSIC RENDERING OF MISFIT (IN THIS CASE RAPISTS AND MURDERS) SOLDIERS BEING MOLDED INTO A CRACK RAIDER UNIT INTENDED TO KILL GERMAN OFFICERS TO DISRUPT D-DAY COUNTER-ATTACK. FILM MADE IN ENGLAND AND DIRECTOR SAID THE STUDIO SAW NO NEED TO REQUEST ASSISTANCE.,Y
"EASY COME, EASY GO",,APPROVED,Assisted,1967,,,,,"EASY COME, EASY GO_1967",ELVIS PRESLEY COMEDY FOR WHICH THE NAVY PROVIDED LIMITED ASSISTANCE--PRESLEY PLAYS A FROGMAN,
FIRST TO FIGHT,,APPROVED,Assisted,1967,,,,,FIRST TO FIGHT_1967,"CONVENTIONAL WORLD WAR II MARINE STORY WHICH RECEIVED FULL COOPERATION, MEN, AND EQUIPMENT.",
ANZIO,,APPROVED,Assisted,1968,,,,,ANZIO_1968,TYPICAL ARMY SUPPORT FOR WORLD WAR II STORY SET IN FAMOUS ASSAULT.,
HANOI-RELEASE JOHN NASMYTH,,APPROVED,Assisted,,,,,,HANOI-RELEASE JOHN NASMYTH_,STOCK FOOTAGE AND AIRCRAFT WAS APPROVED FOR USE AT NO ADDITIONAL COST TO THE GOVERNMENT. NO RECORD OF FILMING BEING MADE.,
BAMBOO SAUCER,,LIMITED,Assisted,1968,,,,,BAMBOO SAUCER_1968,CONVOLUTED SCIENCE FICTION STORY ABOUT A FLYING SAUCER. LIMITED AIR FORCE COOPERATION,Y
BATTLE BENEATH THE EARTH,,LIMITED,Assisted,1968,,,,,BATTLE BENEATH THE EARTH_1968,"NAVY PROVIDED LIMITED ASSISTANCE ON THIS SCIENCE FICTION FILM, USE OF SHIP AND LOCALE",
CODE NAME: DELTA FORCE,,DENIED,Not assisted,,,,,,CODE NAME: DELTA FORCE_,"THE CONCEPT OF THE FILM WAS INACCURATE AND CAST THE US. GOVERNMENT, DOD, AND SPECIAL OPERATIONS FORCES IN UNFAVORABLE LIGHT. ASSISTANCE DENIED. NO RECORD FILM MADE",
DEVIL'S BRIGADE,,APPROVED,Assisted,1968,,,,,DEVIL'S BRIGADE_1968,"TYPICAL GROUP OF MISFITS A LA ""THE DIRTY DOZEN,"" WHOM WILLIAM HOLDEN MOLDS INTO CRACK UNIT ALONG WITH CANADIAN CONTINGENT. RECEIVED FULL ARMY COOPERATION IN FORM OF MEN, LOCATIONS, AND EQUIPMENT",
FACE OF WAR,,APPROVED,Assisted,1968,,,,,FACE OF WAR_1968,MARINE CORPS DOCUMENTARY ABOUT WORLD WAR II COMBAT,
ICE STATION ZEBRA,,APPROVED,Assisted,1968,,,,,ICE STATION ZEBRA_1968,"NAVY PROVIDED FULL COOPERATION, USE OF NUCLEAR SUBMARINE, ETC. FOR A MISGUIDED COLD WAR CONFRONTATION FILM. US AND RUSSIAN FORCES FACE OFF IN ARCTIC OVER SPY SATELLITE PHOTOS THAT HAVE FALLEN NEAR RESEARCH STATION.",
THE GREEN BERETS,,APPROVED,Assisted,1968,,,,,THE GREEN BERETS_1968,"JOHN WAYNE ORIGINALLY WROTE DIRECTLY TO PRESIDENT JOHNSON, SAYING HE WANTED TO MAKE A PRO- VIETNAM MOVIE, SHOWING WHY WE HAD TO BE THERE. LONG NEGOTIATIONS, ORIGINAL SCRIPT SHOWED GREEN BERETS GOING INTO NORTH VIETNAM, WHICH ARMY REQUIRED BE DELETED. AFTER APPROVAL, ARMY ALLOWED FILMING ON FORT BENNING GEORGIA. CHARGED $13,000 FOR ALL HELP. THIS WAS A SECOND PROJECT WITH THIS TITLE. FIRST DIED AFTER APPROACH TO DOD",
BRIDGE AT REMAGEN,,OTHER,Not assisted,1969,,,,,BRIDGE AT REMAGEN_1969,"FICTIONALIZED ACCOUNT OF THE CROSSING OF THE RHINE. SINCE MADE BEHIND THE IRON CURTAIN, THE US MILITARY COULD NOT PROVIDE ANY ASSISTANCE. HOWEVER, A RETIRED ARMY OFFICER SERVED AS THE TECHNICAL ADVISOR. IRONY IS THAT DAVID WOLPER, FAMOUS FOR DOCUMENTARIES, FICTIONALIZED A TRUE STORY. NOT GENERALLY CONSIDERED TO BE A WELL-MADE FILM",Y
CASTLE KEEP,,OTHER,Not assisted,1969,,,,,CASTLE KEEP_1969,ANOTHER ARMY WORLD WAR II STORY MADE IN EUROPE WITHOUT ASSISTANCE REQUESTED.,
EXTRAORDINARY SEAMAN,,LIMITED,Assisted,1969,,,,,EXTRAORDINARY SEAMAN_1969,MISGUIDED WORLD WAR II COMEDY. SOME COMBAT FOOTAGE AND SHOTS OF SHIPS,Y (NICE)
HELLO DOLLY,,LIMITED,Assisted,1969,,,,,HELLO DOLLY_1969,ARMY ALLOWED FILMMAKERS TO BUILD A CHURCH ON GROUNDS OF WEST POINT OVERLOOKING THE HUDSON TO FILM THE WEDDING SEQUENCE.,
CATCH-22,,OTHER,Not assisted,1970,,,,,CATCH-22_1970,MOVIE BASED ON CLASSIC AMERICAN NOVEL ABOUT THE ABSURDITIES OF WAR. DIRECTOR MIKE NICHOLS CREATED HIS OWN AIR FORCE OF B-25 BOMBERS FOR FILMING IN MEXICO. FILM WAS NOT A POPULAR SUCCESS IN PART BECAUSE PEOPLE WHO HAD NOT READ THE NOVEL CAME TO THEATER EXPECTING TO SEE A COMBAT MOVIE. DESCRIBED AS A NOBLE FAILURE BY SOME CRITICS,Y
COLOSSUS,THE FORBIN PROJECT,OTHER,Not assisted,1970,,,,,COLOSSUS_1970,"THIS IS A CLASSIC SCIENCE FICTION, COMPUTER FILM IN WHICH COMPUTERS BUILT BY THE US AND THE SOVIET UNION TO CONTROL MILITARY ACTIVITIES JOIN TOGETHER TO TAKE OVER THE WORLD. NO COOPERATION. MILITARY HAS A PRIMARY ROLE IN FILM BUT IS PORTRAYED AS HELPLESS TO PROTECT THE WORLD AGAINST COMPUTERS.",Y
STRIPES,,LIMITED,Assisted,1970,,,,,STRIPES_1970,"PATTON FAMILY OPPOSED PRODUCTION FOR YEARS. ULTIMATELY FRANK MCCARTHY, WHO HAD SERVED AS SECRETARY TO GENERAL GEORGE MARSHALL DURING WAR, PREVAILED ON ARMY TO GIVE BLESSINGS POINTING OUT HE ONLY WANTED TO PORTRAY PUBLIC LIFE OF PATTON WHICH WAS A MATTER OF PUBLIC RECORD. FAMILY APPARENTLY CONCERNED ABOUT PATTON'S RELATIONSHIP WITH HIS NIECE. ARMY ACTUALLY PROVIDED VERY LITTLE ASSISTANCE SINCE IT HAD NO WORLD WAR II EQUIPMENT LEFT. FILM ACTUALLY SHOT IN SPAIN WITH SPANISH EQUIPMENT.",Y
TORA! TORA! TORA!,,APPROVED,Assisted,1970,,,,,TORA! TORA! TORA!_1970,"NAVY GAVE FULL COOPERATION TD RECREATION OF PEARL HARBOR, EVEN THOUGH IT SHOWED WORST NAVY DEFEAT OF ALL TIME. ACCORDING TO DIRECTOR, NAVY HELPED BECAUSE IT SHOWED VALUE OF AIRCRAFT CARRIERS, AND WARNED NATION TO REMAIN ALERT TO FUTURE SNEAK ATTACKS. ONLY REAL PROBLEM RESULTED FROM CONGRESSIONAL CONCERN OVER USE OF CARRIER, AS REPORTED ON ""00 MINUTES,"" WHICH CLAIMED STUDIO WAS GETTING FREE TRANSPORT OF PLANES TO HAWAII. NOT TRUE.",Y
KELLY'S HEROES,,DENIED,Not assisted,1970,,,,,KELLY'S HEROES_1970,UNREALISTIC CHARACTERIZATIONS OF WORLD WAR II SOLDIERS AND NEGATIVE IMAGE OF AMERICAN SOLDIERS STEALING NAZI GOLD. SO TURNDOWN AND FILM SHOT IN EUROPE,
LIMBO,,DENIED,Not assisted,1972,,,,,LIMBO_1972,"NAVY TURNED DOWN REQUEST FOR LIMITED ASSISTANCE ON GROUNDS THAT IT SHOWED POW WIVES BEING UNFAITHFUL AND THAT COMPLETED FILM WOULD BE SHOWN IN NORTH VIETNAM AS SOON AS IT WAS RELEASED IN US. AND THE WIVES‘ INFIDELITY WOULD HURT POW MORALE, ESPECIALLY IF FILM HAD RECEIVED MILITARY SUPPORT.",
CINDERELLA LIBERTY,,DENIED,Not assisted,1973,,,,,CINDERELLA LIBERTY_1973,"DIRECTOR AND FILM COMPANY NEGOTIATED FOR A LONG TIME SEEKING COOPERATION. STICKING POINT WAS THAT SAILOR GOES AWOL TO TAKE CARE OF BOY WHOSE MOTHER IS A PROSTITUTE. ULTIMATELY REACHED A TENTATIVE AGREEMENT, BUT THEN CHIEF OF INFORMATION DECIDED THAT FILM PERPETUATED NEGATIVE IMAGE OF NAVY RESULTING FROM THE VIETNAM WAR-EVEN THOUGH VIETNAM IS NOT MENTION ED AND IS NOT SUBJECT AFTER FINAL TURNDOWN, FILMMAKERS RETURNED TO ORIGINAL SCRIPT",Y
THE LAST DETAIL,,DENIED,Not assisted,1973,,,,,THE LAST DETAIL_1973,"NAVY HAD PROBLEMS WITH FILM FROM BEGINNING. REFUSED TO MEET WITH PRODUCER SAYING HE WOULD BE WASTING TIME COMING TO WASHINGTON. STORY HAD TWO NAVY MP PETTY OFFICERS ASSIGNED AS SHORE PATROL TO ESCORT A ""FELON"" FROM NAVAL BASE, NORFOLK, TO PRISON IN NEW HAMPSHIRE FOR STEALING A FEW DOLLARS FROM CHURCH COLLECTION BOX. ALONG THE WAY, THE MPS SHOW THE PRISONER SOME FUN INCLUDING DRINKING AND SEX. FILMMAKERS DID ""STEAL"" A SHOT OF GATE AT NORFOLK BASE TO GIVE SOME AMBIANCE",Y
HEARTS AND MINDS,,OTHER,Not assisted,1974,,,,,HEARTS AND MINDS_1974,OSCAR-WINNING DOCUMENTARY ABOUT THE AMERICAN EXPERIENCE IN VIETNAM. TAKES POTSHOTS AT MILITARY BUT CAPTURES THE FRUSTRATION OF THE UNITED STATES IN COUNTRY,
AIRPORT 75,,APPROVED,Assisted,1974,,,,,AIRPORT 75_1974,"AIR FORCE PROVIDED USF OF A HELICOPTER IN SEQUENCE WHERE CHARLTON HESTON IS DROPPED INTO DAMAGED 747, BUT ONLY AFTER THE SERVICE ASCERTAINED THAT ITS HELICOPTER COULD ACTUALLY MATCH THE SPEED OF A 747",Y
TOWERING INFERNO,,APPROVED,Assisted,1974,,,,,TOWERING INFERNO_1974,"NAVY PROVIDED A COUPLE OF HELICOPTERS FOR SEVERAL DAYS OF SHOOTING. SERVICE CONSIDERED FILM SHOWED ITS AIRCRAFT DOING WHAT THEY WOULD DO IN A DISASTER AS PORTRAYED IN FILM. HOWEVER, ONE HELICOPTER IS SHOWN CRASHING ON BUILDING, NOT A VERY GOOD IMAGE.",
"HINDENBURG, THE",,LIMITED,Assisted,1975,,,,,"HINDENBURG, THE_1975","NAVY PERMITTED FILM COMPANY TO USE DIRIGIBLE HANGAR ON NAVY BASE OUTSIDE SAN JOSE TO FILM MINIATURE SEQUENCES FOR BIG-BUDGET, STAR FILLED FILM WHICH PROVED AS DISASTROUS AT BOX OFFICE AS ACTUAL SHIP BECAME IN FLIGHT",Y (SHADE)
MIDWAY,,APPROVED,Assisted,1976,,,,,MIDWAY_1976,PORTRAYALS REASONABLY AND HISTORICALLY ACCURATE. APPROVED STOCK FOOTAGE AND USE OF THE AIRCRAFT CARRIER LEXINGTON OFF PENSACOLA FOR STATIONARY SCENES. NO FLYING SEQUENCES AS IN TORA! TORA! TORAL,
KING KONG,,APPROVED,Assisted,1976,,,,,KING KONG_1976,AIR FORCE PROVIDED JETS FOR ATTACK ON KING KONG IN BAD REMAKE OF CLASSIC ORIGINAL. THIS TIME KONG CLIMBS WORLD TRADE CENTER.,Y
BRIDGE TOO FAR,,APPROVED,Assisted,1977,,,,,BRIDGE TOO FAR_1977,"ARMY FOUND SCRIPT EXCELLENT, RELATIVELY SMALL AMERICAN PRESENCE IN BRITISH FILM.",
AIRPORT 77,,APPROVED,Assisted,1977,,,,,AIRPORT 77_1977,NAVY PROVIDED FULL COOPERATION IN THE FORM OF A SEARCH AND RESCUE UNIT AND UNDERWATER RESCUE VEHICLES FOR A TYPICAL DISASTER MOVIE ABOUT THE CRASH OF A PRIVATE 747 CARRYING PRICELESS ART TREASURES. THE SERVICE FELT THE FILM HIGHLIGHTED ITS UNDERWATER RESCUE CAPABILITIES.,Y
CASSANDRA CROSSING,,OTHER,Not assisted,1977,,,,,CASSANDRA CROSSING_1977,"FILM ABOUT ARMY'S PURSUIT OF STOLEN BIOLOGICAL AGENT AND DECISION TO KILL EVERYONE ON TRAIN TO HIDE EXISTENCE OF DISEASE. IMPORTANT FOR COMMENT BY BURT LANCASTER AS COLONEL IN CHARGE OF DESTROYING TRAIN — ""I KNOW YOU DO NOT THINK MUCH OF THE MILITARY ANYMORE, BUT I DO MY JOB AND DO IT WELL."" COMMENT IS A CLEAR REFLECTION OF HOW THE POST-VIETNAM MILITARY WAS VIEWED IN LATE 1970S",Y
CLOSE ENCOUNTERS OF THE THIRD KIND,,DENIED,Not assisted,1977,,,,,CLOSE ENCOUNTERS OF THE THIRD KIND_1977,STUDIO WANTED USE OF A LARGE HANGER IN WHICH TO FILM FINAL SEQUENCE WHEN ALIEN SPACESHIP LANDS. AIR FORCE REFUSED TO ASSIST ON THE GROUNDS THAT IT HAD DENIED THE EXISTENCE OF UFOS OR ALIENS AND SO IT WAS NOT APPROPRIATE TO COOPERATE.,Y
HEROES,,LIMITED,Assisted,1977,,,,,HEROES_1977,"HENRY WINKLER PLAYS A DERANGED VIETNAM VET WHO ESCAPES FROM VA HOSPITAL AND HEADS CROSS COUNTRY TO START A WORM BUSINESS WITH A BUDDY FROM VIETNAM. WHEN HE ARRIVES AT HOME, PARENTS TELL HIM THEIR SON WAS KILLED IN VIETNAM WHICH TRIGGERS VIETNAM FLASHBACK--GOOD REALISTIC FIRE FIGHT SEQUENCE. ARMY ALLOWED FILMMAKERS TO FILM SEQUENCE AT RECRUIT STATION IN TIMES SQUARE. WINKLER TRIES TO DISSUADE BOYS' ENLISTMENT. FIRST FILM TO RECEIVE ANY ARMY ASSISTANCE,",
MACARTHUR,,APPROVED,Assisted,1977,,,,,MACARTHUR_1977,"APPROVED USE OF FILMING ON MILITARY INSTALLATIONS, INCLUDING WEST POINT. VERY POOR PORTRAYAL OF THE GENERAL, IN LARGE PART BECAUSE GREGORY PECK REFUSED TO PLAY CHARACTER WITH WARTS. DESPITE LONG CORRESPONDENCE, ONLY VERY LIMITED COOPERATION EXCEPT AT WEST POINT. DOCUMENTS IN GEORGETOWN UNIVERSITY LIBRARY SUID COLLECTION.",Y
ROLLING THUNDER,,DENIED,Not assisted,1977,,,,,ROLLING THUNDER_1977,AIR FORCE REFUSED TO PROVIDE ASSISTANCE. CLAIMED NO POW HAD RETURNED FROM VIETNAM SCHIZOPHRENIC WHICH IS DESCRIPTION THEY PUT ON WILLIAM DEVANE. ALSO SHOWED UNFAITHFUL WIFE.,Y
TWILIGHT'S LAST GLEAMING,,OTHER,Not assisted,1977,,,,,TWILIGHT'S LAST GLEAMING_1977,"A POST-WAR VIETNAM FILM IN WHICH A RETIRED AIR FORCE OFFICER, BURT LANCASTER, SEIZES A SAC MISSILE SILO AND DEMANDS THE PRESIDENT READ A MEMO SHOWING OUR VENALITY IN VIETNAM. IN THE END THE VENALITY IS SHOWN WHEN THE GOVERNMENT ORDERS THE KILLING OF THE PRESIDENT WHO IS BEING HELD AS A HOSTAGE. FAR—FETCHED AND CERTAINLY SAC WOULD NOT WANT TO SHOW THAT IT MIGHT BE POSSIBLE TO INFILTRATE. ONE OF ITS SILOS",
COMING HOME,,DENIED,Not assisted,1978,,,,,COMING HOME_1978,"MARINES REFUSED TO PROVIDE ASSISTANCE ON STORY WHICH CONTAINED REFERENCE TO LEATHERNECKS IN VIETNAM CUTTING EARS OFF DEAD VIET CONG, PORTRAYING AN OFFICER SUFFERING A BREAKDOWN FROM HIS WAR EXPERIENCES AND COMMITTING SUICIDE, AND A PARALYZED VIETNAM VET ATTACKING THE MARINES. IN FACT, IF SCRIPT SHOT HAD BEEN SUBMITTED, MARINES MIGHT HAVE ASSISTED. IN ANY CASE FILM HELPED CONVINCE MARINE CORPS IT WAS BETTER TO ASSIST THAN TO IGNORE.",
GO TELL THE SPARTANS,,DENIED,Not assisted,1978,,,,,GO TELL THE SPARTANS_1978,"DON BARUCH, IN DOD PUBLIC AFFAIRS, FOUND THE SCRIPT EXCELLENT AND RECOMMENDED THE ARMY WORK TO REVISE SCRIPT TO MAKE IT ACCEPTABLE FOR ASSISTANCE. FILMMAKERS WENT TO L.A. ARMY OFFICE WHERE NEGOTIATIONS BROKE DOWN AND THE COMPANY MADE THE FILM WITHOUT ASSISTANCE. HOWEVER, THEY ASKED THE DEPUTY DIRECTOR OF LA OFFICE TO SERVE AS TECHNICAL ADVISOR AND HE AGREED, TAKING A 30 DAY LEAVE.",
GOOD GUYS WEAR BLACK,,APPROVED,Assisted,1978,,,,,GOOD GUYS WEAR BLACK_1978,"ONE OF FIRST FILMS SET IN VIETNAM TIME FRAME TO RECEIVE ARMY COOPERATION IN THE FORM OF HELICOPTERS AND EQUIPMENT--STORY OF SPECIAL FORCES UNIT SENT BACK TO VIETNAM TO RESCUE POWS, BUT SET UP TO GET RID OF UNIT AS PART OF PEACE AGREEMENT--SURVIVORS ARE BEING KILLED BY ORDER OF SECRETARY OF STATE DESIGNATE WHO AGREED TO ORDERS TO ACHIEVE ACCORD. CHUCK NORRIS IS LEADER OF UNIT, NOW A HISTORY PROFESSOR, WHO SAVES THE DAY.",
"DEER HUNTER, THE",,OTHER,Not assisted,1978,,,,,"DEER HUNTER, THE_1978","PRODUCERS DID NOT APPROACH DOD FOR HELP. OHIO FILM BUREAU DID REQUEST USE OF ANG PLANES WHICH GAVE DOD A CHANCE TO CRITIQUE SCRIPT. FOUND FULL OF ERRORS. NO RUSSIAN ROULETTE, ETC. PRODUCERS HAD SOUGHT USE OF ANG AT YOUNGSTOWN AIRPORT",
"SWARM, THE",,APPROVED,Assisted,1978,,,,,"SWARM, THE_1978",APPROVED AND FOUND TO BE MUTUALLY BENEFICIAL TO THE DEPARTMENT OF DEFENSE. THE USE OF HELICOPTERS WAS ALSO GRANTED.,
GRAY LADY DOWN,EVENT 1000,APPROVED,Assisted,1978,,,,,GRAY LADY DOWN_1978,"THE NAVY PROVIDED SUPPORT OF THE FILM AFTER MANY CHANGES AND SEVERAL PRODUCTIONS INCLUDING FRANK ROSENBERG, WILLIAM ALDRICH, AND BING CROSBY PRODUCTIONS. FILM HAS ALL THE PROBLEMS OF EVERY NAVY SUBMARINE DISASTER MOVIE. LOSING AN ATOMIC SUBMARINE DOES LITTLE TO HELP THE SERVICE'S IMAGE.",
APOCALYPSE NOW,,DENIED,Not assisted,1979,,,,,APOCALYPSE NOW_1979,"COPPOLA CAME INTO PENTAGON WITH SCRIPT WHICH HE SAID HAD NO ENDING YET BUT WANTED HELP. SINCE SCRIPT CALLED FOR ""TERMINATION"" OF ONE OFFICER BY ANOTHER, ARMY ALWAYS REFUSED TO CONSIDER ASSISTANCE. DESPITE SUBSEQUENT EFFORTS, DOD DID NOT ANSWER TELEGRAM TO PRESIDENT CARTER WHICH MARKED END OF COMMUNICATIONS ON FILM. ORIGINAL DOD FILE HAS DISAPPEARED. ENTIRE FILE WAS COPIED AND NOW AT GEORGETOWN UNIVERSITY LIBRARY.",Y
"GREAT SANTINI, THE",,OTHER,Not assisted,1979,,,,,"GREAT SANTINI, THE_1979","APPROVED USE OF MARINE AIRCRAFT, PERSONNEL, AND INSTALLATIONS. NEGOTIATIONS EXTENDED OVER A LONG PERIOD DUE TO PROBLEMS WITH PORTRAYAL OF MARINE OFFICER AS WIFE AND CHILD ABUSER, A PATTON-TYPE WARRIOR, NEEDED IN WAR BUT LOST IN PEACETIME.",
HAIR,,OTHER,Not assisted,1979,,,,,HAIR_1979,"ARMY ORIGINALLY REFUSED TO EVEN CONSIDER COOPERATION, EQUATING FILM SCRIPT WITH ORIGINAL PLAY. IN FACT, SCRIPT ENTIRELY DIFFERENT. PRODUCERS REFUSED TO TAKE NO FOR AN ANSWER AND APPROACHED THE SECRETARY OF THE ARMY FOR HELP. DOD (NORM HATCH) SAID STORY WAS ""VERY RELIGIOUS."" ULTIMATELY CALIFORNIA NATIONAL GUARD PROVIDED A CLOSED BASE AND A PLANE FOR A FEW SCENES.",Y
DAY AFTER TRINITY,,OTHER,Not assisted,1980,,,,,DAY AFTER TRINITY_1980,AWARD WINNING DOCUMENTARY ON THE BUILDING OF THE ATOMIC BOMB WITH INTERVIEWS BY MANY LEADING SCIENTISTS AND MILITARY MEN. MOST LIKELY RECEIVED USE OF DOCUMENTARY FOOTAGE TAKEN BY CORPS OF ENGINEERS DURING WAR.,
BIG RED ONE,,OTHER,Not assisted,1980,,,,,BIG RED ONE_1980,"SAM FULLER TRIED FOR MANY YEARS TO MAKE A SEMI-AUTOBIOGRAPHICAL FILM ABOUT HIS EXPERIENCES IN THE ""BIG RED ONE."" WHEN HE FINALLY MADE IT, HAD TO USE EQUIPMENT IN ISRAEL. NO NEED TO REQUEST ASSISTANCE. HOWEVER, FILM IS HIGHLY POSITIVE IMAGE OF THE ARMY AND WAS FIRST POSITIVE MOVIE ABOUT ARMY SINCE THE END OF THE VIETNAM WAR.",Y
"FINAL COUNTDOWN, THE",AKA THE LAST COUNTDOWN,APPROVED,Assisted,1980,,,,,"FINAL COUNTDOWN, THE_1980","APPROVED BY DOD. NAVY AND MARINE ALSO APPROVED USE OF EQUIPMENT AND INSTALLATIONS. THE USS NIMITZ BECOMES START OF TRITE SCIENCE FICTION MOVIE IN WHICH CARRIER RETURNS TO DECEMBER 6, 1941. WILL IT STOP PEARL HARBOR.",
PRIVATE BENJAMIN,,DENIED,Not assisted,1980,6.2,Warner Bros.,69847348,10000000,PRIVATE BENJAMIN_1980,"FILM ASSISTANCE DENIED. CONTAINED NEGATIVE ASPECTS FOR THE ARMY, E.G., UNREALISTIC, FALSE, AND EXAGGERATED INFORMATION AS WELL. ARMY FOCUSED ON FALSE RECRUITING PITCH AND PORTRAYAL OF BASIC TRAINING.",
RAISE THE TITANIC,,APPROVED,Assisted,1980,5,ITC Films,0,36000000,RAISE THE TITANIC_1980,"AFTER SEVERAL CHANGES AND REVISIONS, THE DEPARTMENT OF THE NAVY SUPPORTED THE FILM. THE DEPARTMENT FELT THE FILM WAS TO BE ADVANTAGEOUS TO NAVY AND DEPARTMENT RECRUITMENT AND RETENTION. ADMIRAL RODNEY HAD GRAVE CONCERNS ABOUT PORTRAYAL OF CONFRONTATION WITH THE SOVIET UNION AND WITH ENDING WHICH SUGGESTED THE GOVERNMENT LIED AND WAS IWO-FACED. ADMIRAL THOUGHT FILMMAKERS WOULD USE HIS ENDING AND WAS VERY ANGRY WHEN THEY DID NOT. STILL FILM SHOWS MILITARY POSITIVELY.",Y
SOUTHERN COMFORT,,APPROVED,Assisted,1981,7.2,Cinema Group Ventures,0,0,SOUTHERN COMFORT_1981,"AFTER SOME HESITATION, THE LOUISIANA NATIONAL GUARD PROVIDED MEN AND A HELICOPTER FOR FILMING A NON-VIETNAM, VIETNAM STORY ABOUT A NATIONAL GUARD UNIT THAT GOES INTO THE BAYOUS FOR WEEKEND TRAINING AND ENCOUNTER CAJUN NATIVES. WHEN THE UNIT STEALS SOME CANOES, THE NATIVES START PICKING OFF THE NATIONAL GUARDSMEN. THE FILMMAKERS ACKNOWLEDGED THAT THE MOVIE WAS A PARABLE FOR VIETNAM",
